district_code,district_name,subdistrict_code,subdistrict_name,village_code,village_name
524,BAGALKOTE,5446,Badami,598748,Adagal
524,BAGALKOTE,5446,Badami,598647,Agasarakoppa
524,BAGALKOTE,5446,Badami,598713,Aladakatti
524,BAGALKOTE,5446,Badami,598724,Alur .S.K.
524,BAGALKOTE,5446,Badami,598769,Anantagiri
524,BAGALKOTE,5446,Badami,598636,Anawal
524,BAGALKOTE,5446,Badami,598741,Bachinagudd
524,BAGALKOTE,5446,Badami,598750,Badami (Rural) *
524,BAGALKOTE,5446,Badami,598632,Bandakeri
524,BAGALKOTE,5446,Badami,598718,Bankaneri
524,BAGALKOTE,5446,Badami,598736,Bedarabudihal
524,BAGALKOTE,5446,Badami,598726,Beeranur
524,BAGALKOTE,5446,Badami,598717,Belawalakoppa
524,BAGALKOTE,5446,Badami,598641,Bellikindi
524,BAGALKOTE,5446,Badami,598766,Belur
524,BAGALKOTE,5446,Badami,598740,Bhadra Nayakan Jalihal
524,BAGALKOTE,5446,Badami,598758,Budihal
524,BAGALKOTE,5446,Badami,598735,Chikkamuchalagudda
524,BAGALKOTE,5446,Badami,598755,Chikkanasabi
524,BAGALKOTE,5446,Badami,598709,Chimmanakatti
524,BAGALKOTE,5446,Badami,598654,Chinchalakatti
524,BAGALKOTE,5446,Badami,598710,Chirlakoppa
524,BAGALKOTE,5446,Badami,598756,Cholachagudda
524,BAGALKOTE,5446,Badami,598765,Dhanakashirur
524,BAGALKOTE,5446,Badami,598643,Fakeerabudihal
524,BAGALKOTE,5446,Badami,598627,Ganganabudihal
524,BAGALKOTE,5446,Badami,598743,Gonal
524,BAGALKOTE,5446,Badami,598746,Govanaki
524,BAGALKOTE,5446,Badami,598727,Govanakoppa
524,BAGALKOTE,5446,Badami,598649,Gubberakoppa
524,BAGALKOTE,5446,Badami,598768,Guddada Mallapur
524,BAGALKOTE,5446,Badami,598723,Haganur
524,BAGALKOTE,5446,Badami,598699,Halageri
524,BAGALKOTE,5446,Badami,598658,Halakurki
524,BAGALKOTE,5446,Badami,598698,Haligeri
524,BAGALKOTE,5446,Badami,598655,Hanamaneri (G)
524,BAGALKOTE,5446,Badami,598623,Hanamaneri Inam
524,BAGALKOTE,5446,Badami,598705,Hanamasagar
524,BAGALKOTE,5446,Badami,598642,Hawalakhod
524,BAGALKOTE,5446,Badami,598732,Hebballi
524,BAGALKOTE,5446,Badami,598734,Hiremuchalagudda
524,BAGALKOTE,5446,Badami,598754,Hirenasabi
524,BAGALKOTE,5446,Badami,598631,Hoolageri
524,BAGALKOTE,5446,Badami,598637,Hosakoti
524,BAGALKOTE,5446,Badami,598753,Hosur
524,BAGALKOTE,5446,Badami,598657,Hullikeri Inam
524,BAGALKOTE,5446,Badami,598759,Jakanur
524,BAGALKOTE,5446,Badami,598634,Jalageri
524,BAGALKOTE,5446,Badami,598767,Jalihal
524,BAGALKOTE,5446,Badami,598640,Jangawad
524,BAGALKOTE,5446,Badami,598749,Kabbalageri
524,BAGALKOTE,5446,Badami,598656,Kadapatti S.K
524,BAGALKOTE,5446,Badami,598622,Kadarakoppa
524,BAGALKOTE,5446,Badami,598629,Kagalagomba
524,BAGALKOTE,5446,Badami,598638,Kainakatti
524,BAGALKOTE,5446,Badami,598708,Kakanur
524,BAGALKOTE,5446,Badami,598635,Kalabandakeri
524,BAGALKOTE,5446,Badami,598729,Kalas
524,BAGALKOTE,5446,Badami,598706,Kallapur.S.K
524,BAGALKOTE,5446,Badami,598702,Karadigudda.S.A.
