ward_no,ward_name,zone_name
1,Kempegowda Ward,Yelahanka
2,Chowdeswari Ward,Yelahanka
3,Atturu,Yelahanka
4,Yelahanka Satellite Town,Yelahanka
5,Jakkuru,Yelahanka
6,Thanisandra,Yelahanka
7,Byatarayanapura,Yelahanka
8,Kodigehalli,Yelahanka
9,Vidyaranyapura,Yelahanka
10,Dodda Bommasandra,Yelahanka
11,Kuvempu Nagar,Yelahanka
12,Shettihalli,Dasarahalli 
13,Mallasandra,Dasarahalli 
14,Bagalakunte,Dasarahalli 
15,T Dasarahalli,Dasarahalli 
16,Jalahalli,Rajarajeshwari Nagar
17,J P Park,Rajarajeshwari Nagar
18,Radhakrishna Temple Ward,East
19,Sanjaya Nagar,East
20,Ganga Nagar,East
21,Hebbala,East
22,Vishwanath Nagenahalli,East
23,Nagavara,East
24,HBR Layout,East
25,Horamavu,Mahadevapura
26,Ramamurthy Nagar,Mahadevapura
27,Banasavadi,East
28,Kammanahalli,East
29,Kacharkanahalli,East
30,Kadugondanahalli,East
31,Kushal Nagar,East
32,Kaval Bairasandra,East
33,Manorayanapalya,East
34,Gangenahalli,East
35,Aramane Nagara,West
36,Mattikere,West
37,Yeshwanthpura,Rajarajeshwari Nagar
38,HMT Ward,Rajarajeshwari Nagar
39,Chokkasandra,Dasarahalli 
40,Dodda Bidarakallu,Rajarajeshwari Nagar
41,Peenya Industrial Area,Dasarahalli 
42,Lakshmi Devi Nagar,Rajarajeshwari Nagar
43,Nandini Layout,West
44,Marappana Palya,West
45,Malleswaram,West
46,Jayachamarajendra Nagar,East
47,Devara Jeevanahalli,East
48,Muneshwara Nagar,East
49,Lingarajapura,East
50,Benniganahalli,East
51,Vijnanapura,Mahadevapura
52,K R Puram,Mahadevapura
53,Basavanapura,Mahadevapura
54,Hudi,Mahadevapura
55,Devasandra,Mahadevapura
56,A Narayanapura,Mahadevapura
57,C V Raman Nagar,East
58,New Tippasandara,East
59,Maruthi Seva Nagar,East
60,Sagayarapuram,East
61,S K Garden,East
62,Ramaswamy Palya,East
63,Jayamahal,East
64,Rajamahal Guttahalli,West
65,Kadu Malleshwar Ward,West
66,Subramanya Nagar,West
67,Nagapura,West
68,Mahalakshimpuram,West
69,Laggere,Rajarajeshwari Nagar
70,Rajagopal Nagar,Dasarahalli 
71,Hegganahalli,Dasarahalli 
72,Herohalli,Rajarajeshwari Nagar
73,Kottegepalya,Rajarajeshwari Nagar
74,Shakthi Ganapathi Nagar,West
75,Shankar Matt,West
76,Gayithri Nagar,West
77,Dattatreya Temple,West
78,Pulikeshinagar,East
79,Sarvagna Nagar,East
80,Hoysala Nagar,East
81,Vijnana Nagar,Mahadevapura
82,Garudachar Playa,Mahadevapura
83,Kadugodi,Mahadevapura
84,Hagadur,Mahadevapura
85,Dodda Nekkundi,Mahadevapura
